Second,X,Y,Z
8.151001,-0.040382206,0.031049728,0.09884524
8.180146,0.06645787,-0.011898994,0.10282445
8.220124,-0.016115725,-0.013993263,0.023628235
8.260193,-0.043310523,-0.015847206,0.1055882
8.300477,-0.042692423,0.023695946,0.021304846
8.331269,-0.08262342,-0.017958641,0.017317653
8.37024,-0.012688041,0.022759438,-0.016212821
8.410187,-0.077771544,0.023020744,-0.023563385
8.450562,0.035426497,0.023287773,-0.07122624
8.490815,-3.95E-04,0.023135185,-0.007941961
8.530152,-0.022577941,0.022294044,-0.07808578
8.570099,0.009079576,0.020638466,-0.009016514
8.610566,-0.17809594,-0.0634222,0.035402417
8.654816,-0.09310144,0.01565361,0.12240887
8.692444,-0.08911109,-0.027266502,0.045192957
8.730134,-0.042482436,-0.06917,0.12916791
8.790253,-0.03022945,-0.026585579,0.042892337
8.830201,-0.100254476,-0.064484596,-0.004981041
8.882294,-0.16941679,-0.017788887,-0.01640892
8.939515,-0.03261274,0.0583601,-0.17822176
8.985291,-0.29056954,0.14686298,-0.45716727
9.031098,0.10674274,0.06873417,-0.71220016
9.1055,0.3605513,0.25136566,-1.2038743
9.151459,0.563171,0.46971798,-1.7022748
9.207184,1.8151405,0.41469383,-1.6321965
9.27179,2.0041213,0.7682657,-2.545082
9.343842,2.0396795,1.4025688,-3.0283234
9.38205,1.7840022,1.684937,-3.1394787
9.457062,2.3047945,1.8418727,-2.9151607
9.510651,2.9326024,2.3265572,-2.7145844
9.562165,2.694563,2.1426082,-2.7307
9.633118,2.6814067,2.0060282,-2.2971373
9.671357,2.6020417,1.2256126,-2.706686
9.722321,2.8934712,1.3867154,-2.465733
9.784516,2.5747976,1.2156763,-2.8380775
9.820191,2.7606864,1.1955523,-2.110722
9.87027,1.3804646,1.0120878,-2.0692143
9.910828,1.4924674,1.7116127,-1.6041684
9.954499,0.60533476,2.0731335,-0.73862505
10.04068,1.7002635,3.2581677,-2.394535
10.092286,1.5447841,2.8455904,-1.5340366
10.141114,0.13349628,3.2782278,0.07685089
10.192017,0.025345325,3.260912,0.04909849
10.235352,-0.11953688,3.502754,-0.102894306
10.282319,-0.035072803,2.7015493,-0.13263893
10.3219,-0.1059556,2.2803063,0.117093086
10.366791,0.04900217,1.4657005,0.22723961
10.401642,-0.11621952,0.4943632,0.39469767
10.441224,-0.19521761,0.25633305,0.3620944
10.480378,-0.33126163,-0.18663722,0.34023905
10.520112,-0.24247694,-0.61931056,0.7279854
10.570252,-0.21209097,-0.68436515,0.08866644
10.610505,-0.7930007,-0.41181326,0.11387491
10.640778,-0.25805426,-0.3504413,0.102689266
10.680695,0.15981007,-0.41633198,0.39207792
10.720856,0.54011965,-0.45653188,0.5765033
10.760254,0.5080457,-0.5902655,0.38376665
10.800232,0.5720506,-0.17828673,0.34214067
10.840882,0.641984,-0.16967773,0.48938942
10.870789,0.39775705,0.027094364,0.36626244
10.911744,0.35603476,0.19404608,0.20988894
10.973267,0.15209007,-7.47E-05,0.10072756
11.020173,0.25244284,-0.024215102,0.19001675
11.068635,-0.015334606,-0.025682092,-0.09130716
11.11084,-0.073114395,-0.07579839,-0.19594717
11.151703,-0.071017265,-0.1548127,-0.15100336
11.194703,-0.21403122,0.027695954,-0.11913824
11.232209,-0.28903103,0.13312954,-0.22646332
11.270081,-0.25672817,0.13400596,-0.21550703
11.310914,-0.15823889,0.13725036,-0.15502977
11.353333,-0.1319952,0.030277312,-0.16986609
11.390992,-0.1435728,0.069874644,-0.101677895
11.430176,-0.07234955,0.10528183,-0.047028065
11.473328,-0.001717567,0.095320344,-0.047859192
11.510621,-0.01740551,0.08361137,0.042446613
11.551636,0.002217293,0.07013428,0.01879263
11.592041,-0.02513504,0.015337527,0.030332088
11.631409,-0.017126083,0.002152622,0.009176254
11.670136,0.027517796,0.03153014,-0.03012085
11.710511,-0.012578011,0.022304535,0.008947849
11.75058,0.027355194,0.015520811,0.005588532
11.79126,0.025613785,-0.029933512,0.070072174
11.830292,0.06445789,0.03530085,0.025990963
11.910187,0.09952545,0.007232249,0.020977974
11.954316,-0.029393673,0.006501198,0.016381264
11.990693,-0.10439491,0.00555712,-0.09688997
12.030732,-0.002808094,0.004218757,-0.019088268
12.070435,0.07256031,0.002643943,0.046235085
12.100281,-0.013798237,0.028414607,-0.023460388
12.140442,-0.016214848,0.026913226,-0.064166546
12.180146,-0.057739735,-0.001883447,0.005431652
12.220551,-0.12497997,0.0236516,-0.10091066
12.260071,-0.12247181,0.021806955,-0.015660286
12.300171,-0.049619675,0.019804955,-0.052087784
12.340668,0.0801878,-0.009601355,0.021208286
12.381073,0.04807043,-0.052642524,0.02666378
